feature,importance,std
yr,1761348.8280135843,78066.89589840056
temp,676047.3864108234,41083.36632452645
month_cos,330589.0238731701,27220.24718248777
temp_sq,319254.93731780874,21034.769725254224
season,202003.7947698411,18784.514562058517
windspeed,127684.14195104381,14097.629118313442
weathersit,127075.85984939191,13777.183267275104
hum,123434.4670752974,12238.661243677074
hum_sq,36974.930835925225,7836.1307953934775
weekday,17314.419322799637,5541.915906130448
holiday,5096.339218422281,2532.2628353966775
temp_weathersit,3109.697826722802,1573.075739291072
windspeed_sq,1246.6279512051572,1076.2837133735322
temp_windspeed,931.894734804276,1208.8752018394434
temp_hum,598.6562917061965,1266.6025471786804
mnth,471.6484918393602,851.4444033856182
month_sin,-6.229622736031888,28.08595147118976
