Feature,Weight,Abs_Weight
yr,2030.7624305908182,2030.7624305908182
mnth_sep,1284.3108906692619,1284.3108906692619
mnth_may,1164.1522280521988,1164.1522280521988
mnth_jun,1061.7429142424317,1061.7429142424317
mnth_oct,1058.826032852206,1058.826032852206
season_fall,994.2996231917084,994.2996231917084
mnth_aug,926.7201912491635,926.7201912491635
mnth_apr,807.5624643736278,807.5624643736278
mnth_mar,733.2391247323508,733.2391247323508
temp,720.7741286268374,720.7741286268374
mnth_jul,693.9729065580146,693.9729065580146
season_spring,687.967108354266,687.967108354266
mnth_nov,671.9192865354017,671.9192865354017
mnth_dec,631.4862296471798,631.4862296471798
weathersit,-539.6365824821456,539.6365824821456
season_summer,477.5538191414652,477.5538191414652
holiday,-392.02486210497295,392.02486210497295
weekday_fri,313.0289651618801,313.0289651618801
weekday_sat,273.06526968175433,273.06526968175433
weekday_thu,260.71765242852484,260.71765242852484
weekday_tue,237.23638359679552,237.23638359679552
windspeed,-220.95824615439048,220.95824615439048
mnth_feb,192.65282310109276,192.65282310109276
hum,-189.3072625787216,189.3072625787216
weekday_wed,165.64339276081805,165.64339276081805
weekday_mon,120.96949471686415,120.96949471686415
